MGEN|20210608121332|1.0|30|7222|RECURRENT
CAISSEAFFILIATION|0102562235|20090209000002|ACT|973|19940901||506||||||||||||||||||||||
CAISSEAFFILIATION|0102816150|20090209000001|ACT|973|20060901||506||||||||||||||||||||||
CAISSEAFFILIATION|0104981620|20090209000001|ACT|973|20040901||506||||||||||||||||||||||
CAISSEAFFILIATION|0104981621|20181215053242|ACT|973|20181215|20191031|506||||||||||||||||||||||
CONTRATCOLLECTIF|16000101|1|4657|S7100053|O0004501|FR018701|OF000028|0|PEP 71|20110101|||||||||||||||||||
CONTRATCOLLECTIF|16000102|1|10941|S8100014|O0004501|FR018701|OF000028|0|ASEI CENTRE BELLEVUE|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000103|1|5382|S2500006|O0004501|FR018701|OF000028|0|CMPP DE SOCHAUX ET|20080101|||||||||||||||||||
CONTRATCOLLECTIF|16000104|1|8078|S3100001|O0004501|FR018701|OF000028|0|ASEI CENTRE PAUL DOT|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000105|1|8947|S9300069|O0004501|FR018701|OF000028|0|FOYER DE VIE APAJH 9|20110501|||||||||||||||||||
CONTRATCOLLECTIF|16000106|1|6413|S6900026|O0004501|FR018701|OF000028|0|PEP 69 IFMK POUR LES|20120801|||||||||||||||||||
CONTRATCOLLECTIF|16000107|1|11889|S3700022|O0004501|FR018701|OF000028|0|MAIF SOLUTIONS FINAN|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000108|1|10630|S3400055|O0004501|FR018701|OF000028|0|OBJECTIF EMERGENCE|20100101|||||||||||||||||||
CONTRATCOLLECTIF|16000109|1|10242|S7800074|O0004501|FR018701|OF000028|0|ENTRAIDE UNIVERSITAI|20101101|||||||||||||||||||
CONTRATCOLLECTIF|16000110|1|14670|S4400024|O0004501|FR018701|OF000028|0|RESEAU DES COMMERCAN|20070101|||||||||||||||||||
CONTRATCOLLECTIF|16000111|1|2119|S9700203|O0004501|FR018701|OF000028|0|FOL|20070301|||||||||||||||||||
CONTRATCOLLECTIF|16000112|1|5354|S9400012|O0004501|FR018701|OF000028|0|LIGUE DE L ENSEIGNEM|20070701|||||||||||||||||||
CONTRATCOLLECTIF|16000113|1|14135|S9400013|O0004501|FR018701|OF000028|0|C.R.O.U.S. DE CRETEI|19910101|||||||||||||||||||
CONTRATCOLLECTIF|16000114|1|3608|S6900069|O0004501|FR018701|OF000028|0|ALLIANCE FRANCAISE L|20091201|||||||||||||||||||
CONTRATCOLLECTIF|16000115|1|8946|S7500330|O0004501|FR018701|OF000028|0|ASSOCIATION ANTINEA|20020701|||||||||||||||||||
CONTRATCOLLECTIF|16000116|1|14114|S7700051|O0004501|FR018701|OF000028|0|MISSION LOCALE POUR|20100301|||||||||||||||||||
CONTRATCOLLECTIF|16000117|1|14626|S7500355|O0004501|FR018701|OF000028|0|ETUDE NOTAIRE|20110101|||||||||||||||||||
CONTRATCOLLECTIF|16000118|1|13439|S7500009|O0004501|FR018701|OF000028|0|FEDERATION NATIONALE|20120701|||||||||||||||||||
CONTRATCOLLECTIF|16000119|1|9188|S3100005|O0004501|FR018701|OF000028|0|ASEI CENTRE LE COMMI|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000120|1|10637|S7500021|O0004501|FR018701|OF000028|0|FFMJC|20090401|||||||||||||||||||
CONTRATCOLLECTIF|16000121|1|6801|S2100030|O0004501|FR018701|OF000028|0|ADPEP 21|20100201|||||||||||||||||||
CONTRATCOLLECTIF|16000122|1|3889|S9400013|O0004501|FR018701|OF000028|0|C.R.O.U.S. DE CRETEI|20010901|||||||||||||||||||
CONTRATCOLLECTIF|16000123|1|465|S6000017|O0004501|FR018701|OF000028|0|LANGAGE ET INTEGRATI|20080301|||||||||||||||||||
CONTRATCOLLECTIF|16000124|1|8168|S9500013|O0004501|FR018701|OF000028|0|CMPP|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000125|1|487|S1800044|O0004501|FR018701|OF000028|0|ASSOCIATION DE L ADP|20100401|||||||||||||||||||
CONTRATCOLLECTIF|16000126|1|378|S9300023|O0004501|FR018701|OF000028|0|IME APAJH|20111101|||||||||||||||||||
CONTRATCOLLECTIF|16000127|1|8167|S7500386|O0004501|FR018701|OF000028|0|AGE|20091001|||||||||||||||||||
CONTRATCOLLECTIF|16000128|1|1506|S5100002|O0004501|FR018701|OF000028|0|PEP 51 FOYER LE TEO|19910101|||||||||||||||||||
CONTRATCOLLECTIF|16000129|1|12194|S7000002|O0004501|FR018701|OF000028|0|FOL DE LA HAUTE SAON|20100401|||||||||||||||||||
CONTRATCOLLECTIF|16000130|1|12142|S6900091|O0004501|FR018701|OF000028|0|ITEP 69|20090901|||||||||||||||||||
CONTRATCOLLECTIF|16000131|1|2503|S5900086|O0004501|FR018701|OF000028|0|AFEJI MECS LITTORAL|20050101|||||||||||||||||||
CONTRATCOLLECTIF|16000132|1|15225|S7600053|O0004501|FR018701|OF000028|0|MAE|20101101|||||||||||||||||||
CONTRATCOLLECTIF|16000133|1|15063|S7400004|O0004501|FR018701|OF000028|0|FOL 74|19910101|||||||||||||||||||
CONTRATCOLLECTIF|16000134|1|5460|S4300013|O0004501|FR018701|OF000028|0|APAJH 43 CAMSP|20070101|||||||||||||||||||
CONTRATCOLLECTIF|16000135|1|1440|S9400055|O0004501|FR018701|OF000028|0|MAS APAJH 94|20111001|||||||||||||||||||
CONTRATCOLLECTIF|16000136|1|6072|S5900096|O0004501|FR018701|OF000028|0|ALEFPA|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000137|1|2417|S1700009|O0004501|FR018701|OF000028|0|PEP 17|20080701|||||||||||||||||||
CONTRATCOLLECTIF|16000138|1|9107|S2200010|O0004501|FR018701|OF000028|0|LA PASSERELLE SCENE|19910101|||||||||||||||||||
CONTRATCOLLECTIF|16000139|1|10244|S9700112|O0004501|FR018701|OF000028|0|ALEFPA SESSAD DENIS|20110901|||||||||||||||||||
CONTRATCOLLECTIF|16000140|1|1544|S2900002|O0004501|FR018701|OF000028|0|LIGUE DE L ENSEIGNEM|20050201|||||||||||||||||||
CONTRATCOLLECTIF|16000141|1|10616|S7600053|O0004501|FR018701|OF000028|0|MAE|20130101|||||||||||||||||||
CONTRATCOLLECTIF|16000142|1|2276|S5800029|O0004501|FR018701|OF000028|0|ADSEAN SIEGE SOCIAL|20060101|||||||||||||||||||
